Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,21.82,21.83,21.56,21.595,244040
4/17/2018,10:00 AM,21.6,21.805,21.6,21.8,153380
4/17/2018,10:30 AM,21.79,21.83,21.715,21.79,145197
4/17/2018,11:00 AM,21.79,21.8391,21.76,21.825,117622
4/17/2018,11:30 AM,21.82,21.885,21.79,21.8668,154998
4/17/2018,12:00 PM,21.87,21.95,21.76,21.77,247343
4/17/2018,12:30 PM,21.77,21.79,21.68,21.695,106300
4/17/2018,1:00 PM,21.7,21.72,21.65,21.68,99912
4/17/2018,1:30 PM,21.68,21.73,21.67,21.69,112502
4/17/2018,2:00 PM,21.7,21.72,21.68,21.69,112123
4/17/2018,2:30 PM,21.6901,21.79,21.69,21.76,185254
4/17/2018,3:00 PM,21.76,21.81,21.74,21.8,149999
4/17/2018,3:30 PM,21.8,21.84,21.73,21.76,495387
4/17/2018,4:00 PM,21.76,21.76,21.76,21.76,78680
4/18/2018,9:30 AM,21.89,22.03,21.86,21.905,245945
4/18/2018,10:00 AM,21.9,21.98,21.8,21.9,225439
4/18/2018,10:30 AM,21.89,22,21.88,21.98,128955
4/18/2018,11:00 AM,21.99,22.01,21.85,21.855,175414
4/18/2018,11:30 AM,21.85,21.9,21.835,21.86,171977
4/18/2018,12:00 PM,21.86,21.93,21.84,21.855,172949
4/18/2018,12:30 PM,21.85,21.89,21.795,21.82,160653
4/18/2018,1:00 PM,21.82,21.91,21.815,21.86,94209
4/18/2018,1:30 PM,21.855,21.87,21.8,21.805,101318
4/18/2018,2:00 PM,21.8062,21.82,21.73,21.76,110708
4/18/2018,2:30 PM,21.76,21.76,21.55,21.55,191139
4/18/2018,3:00 PM,21.55,21.63,21.53,21.61,135017
4/18/2018,3:30 PM,21.605,21.62,21.53,21.55,463198
4/18/2018,4:00 PM,21.55,21.55,21.55,21.55,123516
4/19/2018,9:30 AM,21.49,21.63,21.245,21.42,324707
4/19/2018,10:00 AM,21.43,21.435,21.12,21.26,380987
4/19/2018,10:30 AM,21.25,21.38,21.14,21.205,214311
4/19/2018,11:00 AM,21.21,21.22,21.05,21.17,269136
4/19/2018,11:30 AM,21.18,21.2,21.06,21.08,231968
4/19/2018,12:00 PM,21.07,21.11,20.995,21,182562
4/19/2018,12:30 PM,21.01,21.1,20.98,21.09,136700
4/19/2018,1:00 PM,21.08,21.11,20.99,21.02,201619
4/19/2018,1:30 PM,21.03,21.1,21.01,21.07,138496
4/19/2018,2:00 PM,21.07,21.185,21.06,21.18,138856
4/19/2018,2:30 PM,21.18,21.29,21.165,21.28,256955
4/19/2018,3:00 PM,21.29,21.385,21.29,21.3,314288
4/19/2018,3:30 PM,21.29,21.38,21.28,21.29,597727
4/19/2018,4:00 PM,21.3,21.3,21.29,21.29,84660
4/20/2018,9:30 AM,21.19,21.25,21.01,21.05,377192
4/20/2018,10:00 AM,21.06,21.08,20.81,20.965,342336
4/20/2018,10:30 AM,20.97,20.97,20.73,20.825,496973
4/20/2018,11:00 AM,20.83,20.875,20.67,20.715,384120
4/20/2018,11:30 AM,20.72,20.87,20.72,20.815,233647
4/20/2018,12:00 PM,20.81,20.82,20.74,20.77,168889
4/20/2018,12:30 PM,20.76,20.76,20.61,20.62,267188
4/20/2018,1:00 PM,20.615,20.75,20.61,20.74,184259
4/20/2018,1:30 PM,20.745,20.835,20.71,20.765,151249
4/20/2018,2:00 PM,20.765,20.775,20.67,20.675,214936
4/20/2018,2:30 PM,20.675,20.69,20.585,20.61,254240
4/20/2018,3:00 PM,20.61,20.62,20.51,20.57,394019
4/20/2018,3:30 PM,20.575,20.67,20.54,20.67,904034
4/20/2018,4:00 PM,20.68,20.68,20.68,20.68,238996
4/23/2018,9:30 AM,20.71,20.81,20.56,20.6901,304508
4/23/2018,10:00 AM,20.7,20.79,20.6,20.67,287973
4/23/2018,10:30 AM,20.68,20.86,20.65,20.855,298606
4/23/2018,11:00 AM,20.86,20.87,20.74,20.79,245022
4/23/2018,11:30 AM,20.79,20.79,20.695,20.725,211949
4/23/2018,12:00 PM,20.725,20.75,20.665,20.675,142489
4/23/2018,12:30 PM,20.675,20.79,20.66,20.79,131833
4/23/2018,1:00 PM,20.78,20.91,20.77,20.8607,248419
4/23/2018,1:30 PM,20.86,20.89,20.81,20.81,223215
4/23/2018,2:00 PM,20.815,20.815,20.67,20.675,268671
4/23/2018,2:30 PM,20.67,20.71,20.61,20.62,206374
4/23/2018,3:00 PM,20.62,20.69,20.61,20.69,322507
4/23/2018,3:30 PM,20.69,20.72,20.64,20.67,742583
4/23/2018,4:00 PM,20.68,20.68,20.68,20.68,150534
4/24/2018,9:30 AM,20.84,21,20.73,20.99,259266
4/24/2018,10:00 AM,20.985,21.08,20.86,20.87,174971
4/24/2018,10:30 AM,20.88,21.05,20.87,21.03,246837
4/24/2018,11:00 AM,21.02,21.12,20.94,21.11,219108
4/24/2018,11:30 AM,21.11,21.215,21.09,21.16,212948
4/24/2018,12:00 PM,21.15,21.19,20.99,21.02,157156
4/24/2018,12:30 PM,21.01,21.015,20.865,20.865,130939
4/24/2018,1:00 PM,20.86,20.93,20.84,20.89,108420
4/24/2018,1:30 PM,20.8852,20.8852,20.74,20.74,115306
4/24/2018,2:00 PM,20.73,20.875,20.69,20.78,173606
4/24/2018,2:30 PM,20.775,20.88,20.77,20.83,194929
4/24/2018,3:00 PM,20.83,20.89,20.805,20.84,189278
4/24/2018,3:30 PM,20.835,20.96,20.8,20.93,1102038
4/24/2018,4:00 PM,20.93,20.93,20.93,20.93,121748
4/25/2018,9:30 AM,20.91,21.0601,20.77,21.05,277139
4/25/2018,10:00 AM,21.04,21.24,20.98,21.24,298041
4/25/2018,10:30 AM,21.24,21.4,21.22,21.28,260205
4/25/2018,11:00 AM,21.29,21.39,21.285,21.31,179181
4/25/2018,11:30 AM,21.3,21.3,21.2,21.25,98319
4/25/2018,12:00 PM,21.25,21.26,21.165,21.195,105250
4/25/2018,12:30 PM,21.195,21.25,21.12,21.14,130966
4/25/2018,1:00 PM,21.135,21.21,21.1,21.115,173859
4/25/2018,1:30 PM,21.115,21.17,21.04,21.045,133869
4/25/2018,2:00 PM,21.05,21.085,21.01,21.05,104891
4/25/2018,2:30 PM,21.05,21.15,21.0348,21.145,135829
4/25/2018,3:00 PM,21.145,21.15,21.07,21.09,152236
4/25/2018,3:30 PM,21.09,21.11,20.98,21.08,550522
4/25/2018,4:00 PM,21.07,21.07,21.07,21.07,118931
4/26/2018,9:30 AM,21.18,21.33,21.03,21.32,250842
4/26/2018,10:00 AM,21.32,21.46,21.25,21.3762,208434
4/26/2018,10:30 AM,21.38,21.45,21.31,21.44,118529
4/26/2018,11:00 AM,21.4362,21.495,21.36,21.48,183907
4/26/2018,11:30 AM,21.4748,21.53,21.4,21.43,132914
4/26/2018,12:00 PM,21.43,21.58,21.42,21.53,140511
4/26/2018,12:30 PM,21.53,21.53,21.43,21.46,93628
