Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,1462.295,1472.5,1457.0219,1471.84,599188
4/17/2018,10:00 AM,1471.685,1477.93,1471.51,1475.5982,280724
4/17/2018,10:30 AM,1475.59,1477.6799,1473.22,1477.13,169163
4/17/2018,11:00 AM,1477.01,1480.55,1477,1479.91,183996
4/17/2018,11:30 AM,1479.556,1480.76,1477.68,1478.66,121774
4/17/2018,12:00 PM,1478.96,1486.82,1478.45,1486.24,176734
4/17/2018,12:30 PM,1486.4,1491.23,1484.55,1491.23,166628
4/17/2018,1:00 PM,1491.32,1495.44,1488.25,1493.845,319815
4/17/2018,1:30 PM,1494.16,1495.68,1492.14,1495.345,172189
4/17/2018,2:00 PM,1495.3448,1496.68,1492.71,1494.6912,127086
4/17/2018,2:30 PM,1494.71,1500,1494.29,1498.5,182754
4/17/2018,3:00 PM,1498.645,1500,1495.37,1498.9005,171936
4/17/2018,3:30 PM,1499.02,1507.19,1498.65,1503.63,463993
4/17/2018,4:00 PM,1503.83,1503.83,1503.83,1503.83,165616
4/18/2018,9:30 AM,1514.6501,1523.9999,1510.51,1519.8164,857509
4/18/2018,10:00 AM,1519.26,1520.17,1504.11,1514.1198,426952
4/18/2018,10:30 AM,1514.4,1520,1513.58,1519.76,202514
4/18/2018,11:00 AM,1519.4904,1529.35,1519.3202,1527.325,280894
4/18/2018,11:30 AM,1527.21,1530.2,1525.01,1526.32,190968
4/18/2018,12:00 PM,1526.4919,1533.33,1526.4919,1531.78,170975
4/18/2018,12:30 PM,1532.03,1532.5,1525,1529.675,136611
4/18/2018,1:00 PM,1529.86,1530.86,1526.28,1529.4778,101112
4/18/2018,1:30 PM,1529.57,1530.5,1525.3608,1525.37,112937
4/18/2018,2:00 PM,1525.338,1530.54,1523.01,1529.39,120246
4/18/2018,2:30 PM,1529.5,1533.8,1528.965,1530.15,152017
4/18/2018,3:00 PM,1530.31,1531.99,1528.62,1529.095,87280
4/18/2018,3:30 PM,1529.19,1531.36,1525.13,1527.85,256215
4/18/2018,4:00 PM,1527.84,1527.84,1527.84,1527.84,98178
4/19/2018,9:30 AM,1543.22,1568.52,1539.06,1567.535,1062955
4/19/2018,10:00 AM,1567.515,1567.515,1554,1559.3225,526867
4/19/2018,10:30 AM,1558.86,1563.86,1552.7057,1556.07,260876
4/19/2018,11:00 AM,1556.375,1557.75,1547.8,1552.185,244870
4/19/2018,11:30 AM,1552.155,1554.3825,1549.15,1551.65,171990
4/19/2018,12:00 PM,1551.59,1558.36,1550.0277,1553.5,189592
4/19/2018,12:30 PM,1553.5,1558.735,1552,1556.01,112882
4/19/2018,1:00 PM,1556,1557,1552.11,1552.92,93379
4/19/2018,1:30 PM,1552.38,1555.03,1549.52,1551.43,123438
4/19/2018,2:00 PM,1551.48,1555.58,1547.8,1550.0763,149500
4/19/2018,2:30 PM,1549.8115,1552.26,1548,1550.33,143530
4/19/2018,3:00 PM,1550.62,1557.35,1549.4801,1554.81,164123
4/19/2018,3:30 PM,1554.35,1562.03,1552.995,1556.73,423666
4/19/2018,4:00 PM,1556.91,1556.91,1556.91,1556.91,182081
4/20/2018,9:30 AM,1561.1999,1561.1999,1540.7701,1552.13,691289
4/20/2018,10:00 AM,1552.822,1558.84,1549.66,1558.0497,221032
4/20/2018,10:30 AM,1558.19,1558.44,1547.19,1551.8529,247807
4/20/2018,11:00 AM,1551.64,1552.28,1541.57,1542.07,204800
4/20/2018,11:30 AM,1542.82,1546.37,1538.1,1540.96,203872
4/20/2018,12:00 PM,1541.25,1541.3,1532.3181,1534.72,219339
4/20/2018,12:30 PM,1534.2079,1534.77,1527.255,1529.1,214961
4/20/2018,1:00 PM,1529.0777,1536.6,1527.95,1535.54,191567
4/20/2018,1:30 PM,1535.4,1540.35,1534.23,1536.9059,137355
4/20/2018,2:00 PM,1536.75,1536.89,1531.1901,1533.625,108139
4/20/2018,2:30 PM,1533.135,1533.68,1526.84,1528.015,165851
4/20/2018,3:00 PM,1527.72,1528.3519,1516.093,1520.52,285193
4/20/2018,3:30 PM,1520.51,1528.025,1519.8847,1527.5,415809
4/20/2018,4:00 PM,1527.49,1527.49,1527.49,1527.49,156801
4/23/2018,9:30 AM,1546.6947,1548,1523.0274,1527.635,609696
4/23/2018,10:00 AM,1528.23,1533.5,1523.5,1532.66,245042
4/23/2018,10:30 AM,1532.705,1539,1524.45,1537.1,189455
4/23/2018,11:00 AM,1537.445,1543.01,1535.23,1539.975,184007
4/23/2018,11:30 AM,1540.1201,1540.27,1535.4,1537.01,79261
4/23/2018,12:00 PM,1536.995,1538.32,1530.2,1532.449,75148
4/23/2018,12:30 PM,1532.0605,1532.6351,1525.49,1528.4233,102878
4/23/2018,1:00 PM,1528.03,1530.5494,1527.37,1529.2,74212
4/23/2018,1:30 PM,1528.87,1532.5033,1525.5,1527.795,111738
4/23/2018,2:00 PM,1527.6725,1527.6725,1513.35,1514.15,259609
4/23/2018,2:30 PM,1514.6195,1516.1,1503.4103,1509.431,270198
4/23/2018,3:00 PM,1509.43,1518,1507.426,1514.69,177564
4/23/2018,3:30 PM,1514.93,1520.01,1512.67,1517.849,258219
4/23/2018,4:00 PM,1517.86,1517.86,1517.86,1517.86,163027
4/24/2018,9:30 AM,1535.8,1539.5,1513.95,1519.0436,525702
4/24/2018,10:00 AM,1518.38,1519.455,1487.57,1494.8,483786
4/24/2018,10:30 AM,1494.16,1496.9799,1483,1483.3162,406415
4/24/2018,11:00 AM,1483.32,1484.93,1469.12,1482.79,463765
4/24/2018,11:30 AM,1482.99,1488.4,1475,1475.6137,259766
4/24/2018,12:00 PM,1475.6012,1478.6625,1455.01,1457.01,280357
4/24/2018,12:30 PM,1457.435,1465.88,1455.01,1457.64,304845
4/24/2018,1:00 PM,1457.2,1467.356,1455.8,1459.175,230708
4/24/2018,1:30 PM,1459.022,1464.43,1454.65,1457.5041,248800
4/24/2018,2:00 PM,1457.415,1460.78,1448.4475,1452.1214,348190
4/24/2018,2:30 PM,1451.78,1463.9,1450,1461.75,235957
4/24/2018,3:00 PM,1462.4452,1469.55,1459.38,1462.8717,296134
4/24/2018,3:30 PM,1463.05,1463.7499,1450,1460.6065,528185
4/24/2018,4:00 PM,1460.09,1460.09,1460.09,1460.09,219643
4/25/2018,9:30 AM,1458,1462.06,1419.32,1419.5503,836415
4/25/2018,10:00 AM,1419.3584,1428.2,1415.02,1425.6368,534468
4/25/2018,10:30 AM,1426.69,1452,1424.94,1451.775,456194
4/25/2018,11:00 AM,1451.545,1469.99,1449.34,1467.6428,525887
4/25/2018,11:30 AM,1467.655,1468.2799,1450.46,1450.6097,274415
4/25/2018,12:00 PM,1450.27,1460,1445.417,1457.5197,182333
4/25/2018,12:30 PM,1457.07,1463,1449.02,1450.4253,149829
4/25/2018,1:00 PM,1450.4932,1456.36,1445.43,1448.97,111260
4/25/2018,1:30 PM,1449,1458.5045,1448.82,1454.4673,128836
4/25/2018,2:00 PM,1454.4675,1455.686,1446.2176,1449.04,119180
4/25/2018,2:30 PM,1449.49,1467,1447.3939,1464.99,210811
4/25/2018,3:00 PM,1464.6718,1468,1459.0056,1461.567,186064
4/25/2018,3:30 PM,1461.275,1463.8476,1452.66,1461.74,308172
4/25/2018,4:00 PM,1460.17,1460.17,1460.17,1460.17,149311
4/26/2018,9:30 AM,1485.01,1492.66,1478.5,1486.9699,631688
4/26/2018,10:00 AM,1487,1497.2,1485,1496.71,327429
4/26/2018,10:30 AM,1496.75,1505,1496,1498.07,353388
4/26/2018,11:00 AM,1498.14,1501.765,1494.966,1501.284,171681
4/26/2018,11:30 AM,1501.46,1503.09,1495.67,1497.74,176032
4/26/2018,12:00 PM,1498.2,1504.05,1497.34,1503.0003,150859
4/26/2018,12:30 PM,1503.52,1505.96,1501.15,1503.58,142012
4/26/2018,1:00 PM,1503.47,1519.33,1503.3559,1517.52,290786
4/26/2018,1:30 PM,1517.49,1521.64,1514.16,1520.794,234742
4/26/2018,2:00 PM,1520.7357,1529.42,1519.17,1521.4297,268415
4/26/2018,2:30 PM,1521.63,1525.072,1518.23,1522.415,191592
4/26/2018,3:00 PM,1523.1,1527.22,1518.82,1519.32,238462
4/26/2018,3:30 PM,1519.55,1521.75,1508,1519.28,597753
4/26/2018,4:00 PM,1517.96,1517.96,1517.96,1517.96,180948
4/27/2018,9:30 AM,1634.01,1638.1,1582,1590.445,2380442
4/27/2018,10:00 AM,1589.5163,1608.37,1587.12,1587.77,955890
4/27/2018,10:30 AM,1587.6416,1588,1571.766,1585.87,918226
4/27/2018,11:00 AM,1585.69,1599.6258,1583.9307,1599.416,586669
4/27/2018,11:30 AM,1599.02,1600,1586.2,1591.3364,296076
4/27/2018,12:00 PM,1591.4,1597.96,1587.8,1588.9848,259287
4/27/2018,12:30 PM,1588.58,1590.95,1578.42,1588.3231,378152
4/27/2018,1:00 PM,1588.415,1591.6999,1583.55,1584.25,193856
4/27/2018,1:30 PM,1584.86,1585.97,1580.42,1582.382,152030
4/27/2018,2:00 PM,1582.4059,1586,1579.18,1581.6,194990
4/27/2018,2:30 PM,1581.7347,1585.24,1572.59,1573.2199,247027
4/27/2018,3:00 PM,1573.02,1578.08,1567.386,1569.58,326131
4/27/2018,3:30 PM,1569.6684,1580.9,1569.39,1572.7599,619148
4/27/2018,4:00 PM,1572.62,1572.62,1572.62,1572.62,183621
4/30/2018,9:30 AM,1582.5,1586.95,1565,1583.4403,785839
4/30/2018,10:00 AM,1583.09,1596,1583,1589.11,417410
4/30/2018,10:30 AM,1589.0819,1591.24,1581.1265,1587.48,196710
4/30/2018,11:00 AM,1587.54,1590.445,1584.8,1585.8,163379
4/30/2018,11:30 AM,1585.23,1585.3866,1570.84,1575.82,239847
4/30/2018,12:00 PM,1575.5659,1576.73,1560.941,1568.54,232794
4/30/2018,12:30 PM,1568.16,1571.96,1564.6,1569.6,152306
4/30/2018,1:00 PM,1569.3776,1572.82,1565.05,1569.515,107979
4/30/2018,1:30 PM,1570.45,1576.59,1567.24,1575.3233,96043
4/30/2018,2:00 PM,1575.0492,1575.0492,1565.52,1572.16,121101
4/30/2018,2:30 PM,1571.6,1573.24,1568.26,1569,88695
4/30/2018,3:00 PM,1568.61,1572.499,1565.57,1569.9,147451
4/30/2018,3:30 PM,1569.3382,1575.8,1566,1566.13,272065
4/30/2018,4:00 PM,1566.13,1566.13,1566.13,1566.13,271453
5/1/2018,9:30 AM,1563.22,1568.21,1552.18,1566.83,615496
5/1/2018,10:00 AM,1566.25,1576.32,1560.37,1574.108,334501
5/1/2018,10:30 AM,1574.46,1575.33,1565.523,1566.185,195232
5/1/2018,11:00 AM,1565.9661,1570.7216,1562,1567.635,160959
5/1/2018,11:30 AM,1567.9934,1569.8,1561.53,1562.41,97018
5/1/2018,12:00 PM,1563.01,1565.5,1561.62,1565.5,67875
5/1/2018,12:30 PM,1565.588,1567.6,1562.33,1563.51,63864
5/1/2018,1:00 PM,1563.9498,1565.86,1561.33,1565.735,94402
5/1/2018,1:30 PM,1565.3853,1573.94,1564.11,1573.2938,129709
5/1/2018,2:00 PM,1573.334,1580,1572.85,1577.56,254176
5/1/2018,2:30 PM,1577.15,1582.695,1575.8931,1579.9576,182873
5/1/2018,3:00 PM,1580.35,1581.5,1577.5078,1579.37,110006
5/1/2018,3:30 PM,1579.99,1585,1577.15,1582.26,386663
5/1/2018,4:00 PM,1582.26,1582.26,1582.26,1582.26,105345
5/2/2018,9:30 AM,1580.98,1587.99,1572.51,1581.26,478307
5/2/2018,10:00 AM,1581.925,1588.4992,1580.871,1583.3453,244906
5/2/2018,10:30 AM,1583.463,1586.2,1577.23,1579.09,174434
5/2/2018,11:00 AM,1579.49,1582.305,1577.15,1578.1776,144717
5/2/2018,11:30 AM,1578.1,1578.92,1571.18,1574.59,180345
