Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,42.76,42.76,42.58,42.73,536802
4/17/2018,10:00 AM,42.73,42.82,42.65,42.686,377095
4/17/2018,10:30 AM,42.685,42.785,42.66,42.75,242965
4/17/2018,11:00 AM,42.75,42.83,42.725,42.73,442047
4/17/2018,11:30 AM,42.73,42.73,42.605,42.655,256156
4/17/2018,12:00 PM,42.655,42.67,42.6,42.665,207299
4/17/2018,12:30 PM,42.6688,42.68,42.6,42.6704,173561
4/17/2018,1:00 PM,42.675,42.75,42.67,42.735,144467
4/17/2018,1:30 PM,42.74,42.78,42.7,42.7,174219
4/17/2018,2:00 PM,42.71,42.775,42.68,42.76,199330
4/17/2018,2:30 PM,42.76,42.77,42.7,42.745,235317
4/17/2018,3:00 PM,42.75,42.81,42.74,42.75,333045
4/17/2018,3:30 PM,42.75,42.78,42.65,42.65,719544
4/17/2018,4:00 PM,42.65,42.65,42.65,42.65,52378
4/18/2018,9:30 AM,43.35,43.56,43.34,43.5,1116523
4/18/2018,10:00 AM,43.51,43.51,43.304,43.4,744475
4/18/2018,10:30 AM,43.405,43.525,43.405,43.48,867345
4/18/2018,11:00 AM,43.479,43.525,43.44,43.47,722872
4/18/2018,11:30 AM,43.47,43.6,43.43,43.585,1031334
4/18/2018,12:00 PM,43.59,43.62,43.54,43.57,296322
4/18/2018,12:30 PM,43.56,43.59,43.525,43.565,199519
4/18/2018,1:00 PM,43.56,43.62,43.551,43.58,228239
4/18/2018,1:30 PM,43.5852,43.61,43.53,43.595,223861
4/18/2018,2:00 PM,43.5968,43.69,43.565,43.68,198020
4/18/2018,2:30 PM,43.68,43.7,43.66,43.67,296948
4/18/2018,3:00 PM,43.675,43.7,43.6,43.62,330306
4/18/2018,3:30 PM,43.62,43.62,43.49,43.52,710318
4/18/2018,4:00 PM,43.53,43.53,43.53,43.53,102496
4/19/2018,9:30 AM,43.71,43.75,43.58,43.66,540289
4/19/2018,10:00 AM,43.66,43.8952,43.62,43.885,492594
4/19/2018,10:30 AM,43.89,43.9,43.8,43.9,343356
4/19/2018,11:00 AM,43.895,43.99,43.87,43.98,458294
4/19/2018,11:30 AM,43.98,43.98,43.72,43.72,358793
4/19/2018,12:00 PM,43.72,43.77,43.665,43.68,224919
4/19/2018,12:30 PM,43.69,43.81,43.6765,43.6765,253395
4/19/2018,1:00 PM,43.68,43.685,43.57,43.57,120472
4/19/2018,1:30 PM,43.57,43.585,43.53,43.5732,184310
4/19/2018,2:00 PM,43.57,43.575,43.52,43.575,141922
4/19/2018,2:30 PM,43.5727,43.64,43.57,43.5742,184089
4/19/2018,3:00 PM,43.5764,43.65,43.565,43.6,171911
4/19/2018,3:30 PM,43.595,43.72,43.58,43.68,840658
4/19/2018,4:00 PM,43.67,43.67,43.67,43.67,34601
4/20/2018,9:30 AM,43.28,43.3799,43.22,43.26,500629
4/20/2018,10:00 AM,43.27,43.2869,43.18,43.28,668803
4/20/2018,10:30 AM,43.28,43.38,43.26,43.3732,360972
4/20/2018,11:00 AM,43.38,43.6036,43.365,43.59,363149
4/20/2018,11:30 AM,43.58,43.66,43.5768,43.605,181929
4/20/2018,12:00 PM,43.605,43.61,43.56,43.569,128998
4/20/2018,12:30 PM,43.56,43.56,43.45,43.4758,205140
4/20/2018,1:00 PM,43.4764,43.53,43.46,43.525,105095
4/20/2018,1:30 PM,43.53,43.58,43.5,43.5,128376
4/20/2018,2:00 PM,43.5031,43.55,43.4718,43.52,132067
4/20/2018,2:30 PM,43.52,43.57,43.46,43.565,287514
4/20/2018,3:00 PM,43.5669,43.58,43.45,43.47,305607
4/20/2018,3:30 PM,43.47,43.56,43.4542,43.505,501052
4/20/2018,4:00 PM,43.5,43.5,43.5,43.5,50845
4/23/2018,9:30 AM,43.6,43.6,43.425,43.5036,390910
4/23/2018,10:00 AM,43.51,43.631,43.47,43.595,205788
4/23/2018,10:30 AM,43.59,43.655,43.56,43.6,250585
4/23/2018,11:00 AM,43.6,43.615,43.54,43.595,363138
4/23/2018,11:30 AM,43.59,43.655,43.58,43.61,161357
4/23/2018,12:00 PM,43.61,43.68,43.605,43.6349,184742
4/23/2018,12:30 PM,43.63,43.7,43.63,43.67,180988
4/23/2018,1:00 PM,43.6749,43.68,43.625,43.635,108217
4/23/2018,1:30 PM,43.64,43.68,43.5914,43.68,101610
4/23/2018,2:00 PM,43.6761,43.88,43.66,43.88,742878
4/23/2018,2:30 PM,43.87,43.89,43.81,43.8369,400681
4/23/2018,3:00 PM,43.83,43.94,43.821,43.91,261728
4/23/2018,3:30 PM,43.905,43.935,43.86,43.92,526275
4/23/2018,4:00 PM,43.91,43.91,43.91,43.91,97210
4/24/2018,9:30 AM,44.19,44.49,44.17,44.48,1230786
4/24/2018,10:00 AM,44.48,44.73,44.45,44.71,1778850
4/24/2018,10:30 AM,44.714,44.7701,44.655,44.69,935814
4/24/2018,11:00 AM,44.69,44.77,44.54,44.7665,699000
4/24/2018,11:30 AM,44.765,44.81,44.63,44.63,526854
4/24/2018,12:00 PM,44.63,44.72,44.59,44.635,313783
4/24/2018,12:30 PM,44.64,44.72,44.57,44.63,345395
4/24/2018,1:00 PM,44.64,44.65,44.4,44.42,338907
4/24/2018,1:30 PM,44.41,44.42,44.175,44.2,469683
4/24/2018,2:00 PM,44.2,44.32,44.1,44.21,471988
4/24/2018,2:30 PM,44.21,44.28,44.14,44.27,416142
4/24/2018,3:00 PM,44.27,44.33,44.14,44.155,508756
4/24/2018,3:30 PM,44.15,44.27,44.05,44.25,1002481
4/24/2018,4:00 PM,44.24,44.24,44.24,44.24,270053
4/25/2018,9:30 AM,43.84,43.84,43.45,43.6099,880771
4/25/2018,10:00 AM,43.61,43.71,43.5551,43.68,375209
4/25/2018,10:30 AM,43.675,43.75,43.5202,43.74,471667
4/25/2018,11:00 AM,43.74,43.945,43.72,43.92,371204
4/25/2018,11:30 AM,43.93,43.96,43.785,43.855,175090
4/25/2018,12:00 PM,43.86,43.955,43.845,43.94,220511
4/25/2018,12:30 PM,43.93,43.9766,43.91,43.94,132989
4/25/2018,1:00 PM,43.93,43.97,43.86,43.94,133958
4/25/2018,1:30 PM,43.94,44.11,43.94,44.11,318993
4/25/2018,2:00 PM,44.1041,44.165,44.0746,44.16,314350
4/25/2018,2:30 PM,44.1572,44.22,44.12,44.215,157470
4/25/2018,3:00 PM,44.21,44.226,44.14,44.15,250577
4/25/2018,3:30 PM,44.155,44.2,44.13,44.17,719957
4/25/2018,4:00 PM,44.17,44.17,44.17,44.17,73678
4/26/2018,9:30 AM,44.75,44.89,44.67,44.855,881750
4/26/2018,10:00 AM,44.86,44.89,44.71,44.76,876657
4/26/2018,10:30 AM,44.7541,44.88,44.75,44.7992,417734
4/26/2018,11:00 AM,44.79,44.8148,44.71,44.75,368451
4/26/2018,11:30 AM,44.75,44.8333,44.7,44.83,277990
4/26/2018,12:00 PM,44.83,44.8452,44.73,44.74,303767
4/26/2018,12:30 PM,44.74,44.76,44.65,44.74,274545
4/26/2018,1:00 PM,44.745,44.79,44.74,44.75,89762
4/26/2018,1:30 PM,44.75,44.75,44.66,44.72,174233
4/26/2018,2:00 PM,44.715,44.78,44.71,44.76,137373
4/26/2018,2:30 PM,44.755,44.8,44.73,44.795,186841
4/26/2018,3:00 PM,44.795,44.82,44.77,44.81,264560
4/26/2018,3:30 PM,44.805,44.88,44.8,44.87,712089
4/26/2018,4:00 PM,44.85,44.85,44.85,44.85,87574
4/27/2018,9:30 AM,44.3,44.34,44.09,44.25,740492
4/27/2018,10:00 AM,44.24,44.26,44.06,44.1,495872
4/27/2018,10:30 AM,44.096,44.29,44.08,44.24,298501
4/27/2018,11:00 AM,44.24,44.47,44.24,44.4449,315791
4/27/2018,11:30 AM,44.44,44.49,44.42,44.45,170067
4/27/2018,12:00 PM,44.45,44.48,44.41,44.44,317569
4/27/2018,12:30 PM,44.43,44.48,44.425,44.465,166310
4/27/2018,1:00 PM,44.47,44.479,44.42,44.43,117281
4/27/2018,1:30 PM,44.4341,44.45,44.38,44.4,142966
4/27/2018,2:00 PM,44.39,44.4063,44.35,44.35,124297
4/27/2018,2:30 PM,44.35,44.38,44.33,44.375,174066
4/27/2018,3:00 PM,44.37,44.385,44.28,44.3,303035
4/27/2018,3:30 PM,44.3,44.31,44.2,44.21,597418
4/27/2018,4:00 PM,44.22,44.22,44.22,44.22,192374
4/30/2018,9:30 AM,43.83,44.18,43.82,44.11,823403
4/30/2018,10:00 AM,44.1,44.335,44.09,44.205,417582
4/30/2018,10:30 AM,44.21,44.35,44.185,44.35,350610
4/30/2018,11:00 AM,44.3554,44.43,44.26,44.405,761789
4/30/2018,11:30 AM,44.4,44.4869,44.39,44.425,276393
4/30/2018,12:00 PM,44.425,44.48,44.4,44.475,104261
