Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,32.52,32.63,32.26,32.55,162733
4/17/2018,10:00 AM,32.565,32.62,32.46,32.52,101559
4/17/2018,10:30 AM,32.52,32.61,32.42,32.42,163158
4/17/2018,11:00 AM,32.42,32.43,32.29,32.322,111710
4/17/2018,11:30 AM,32.32,32.45,32.19,32.19,113393
4/17/2018,12:00 PM,32.19,32.275,32.07,32.09,107713
4/17/2018,12:30 PM,32.1,32.1,31.75,31.75,179770
4/17/2018,1:00 PM,31.76,31.8299,31.62,31.74,260930
4/17/2018,1:30 PM,31.75,31.85,31.67,31.72,195355
4/17/2018,2:00 PM,31.72,31.75,31.49,31.52,140980
4/17/2018,2:30 PM,31.515,31.62,31.475,31.49,146623
4/17/2018,3:00 PM,31.49,31.63,31.48,31.57,212125
4/17/2018,3:30 PM,31.57,31.6,31.47,31.51,467342
4/17/2018,4:00 PM,31.52,31.52,31.52,31.52,134560
4/18/2018,9:30 AM,31.76,32.3,31.57,32.13,273159
4/18/2018,10:00 AM,32.14,32.259,32.08,32.16,171072
4/18/2018,10:30 AM,32.16,32.36,32.11,32.26,141364
4/18/2018,11:00 AM,32.26,32.3,32.13,32.225,107734
4/18/2018,11:30 AM,32.22,32.2899,32.12,32.165,135631
4/18/2018,12:00 PM,32.165,32.235,32.03,32.05,80817
4/18/2018,12:30 PM,32.05,32.11,32,32.02,109384
4/18/2018,1:00 PM,32.01,32.03,31.93,31.93,80578
4/18/2018,1:30 PM,31.93,32.11,31.92,32.08,72440
4/18/2018,2:00 PM,32.08,32.12,31.99,32.07,95783
4/18/2018,2:30 PM,32.07,32.075,31.93,31.93,92479
4/18/2018,3:00 PM,31.93,32.03,31.9,31.99,166458
4/18/2018,3:30 PM,31.99,32.03,31.92,31.94,462436
4/18/2018,4:00 PM,31.95,31.95,31.95,31.95,135000
4/19/2018,9:30 AM,31.79,31.98,31.71,31.93,69397
4/19/2018,10:00 AM,31.94,31.94,31.615,31.615,86056
4/19/2018,10:30 AM,31.6,31.75,31.535,31.56,67130
4/19/2018,11:00 AM,31.57,31.6,31.43,31.58,79637
4/19/2018,11:30 AM,31.58,31.59,31.31,31.47,58713
4/19/2018,12:00 PM,31.46,31.46,31.3,31.32,50385
4/19/2018,12:30 PM,31.33,31.34,31.25,31.27,50213
4/19/2018,1:00 PM,31.26,31.26,31.09,31.09,71586
4/19/2018,1:30 PM,31.1,31.235,31.1,31.19,57157
4/19/2018,2:00 PM,31.19,31.25,31.135,31.23,87711
4/19/2018,2:30 PM,31.23,31.39,31.21,31.38,83467
4/19/2018,3:00 PM,31.38,31.46,31.3,31.37,116816
4/19/2018,3:30 PM,31.365,31.48,31.325,31.4,290559
4/19/2018,4:00 PM,31.41,31.41,31.41,31.41,97065
4/20/2018,9:30 AM,31.4,31.72,31.27,31.62,359638
4/20/2018,10:00 AM,31.62,31.64,31.33,31.46,128491
4/20/2018,10:30 AM,31.46,31.5,31.18,31.31,207889
4/20/2018,11:00 AM,31.33,31.41,31.2,31.295,172468
4/20/2018,11:30 AM,31.3,31.5,31.295,31.42,124950
4/20/2018,12:00 PM,31.41,31.415,31.31,31.395,128092
4/20/2018,12:30 PM,31.39,31.42,31.3,31.36,153263
4/20/2018,1:00 PM,31.355,31.55,31.34,31.52,143920
4/20/2018,1:30 PM,31.515,31.62,31.42,31.53,118536
4/20/2018,2:00 PM,31.54,31.5825,31.49,31.54,96852
4/20/2018,2:30 PM,31.53,31.55,31.44,31.53,112149
4/20/2018,3:00 PM,31.52,31.6,31.45,31.6,184860
4/20/2018,3:30 PM,31.605,31.72,31.59,31.655,478469
4/20/2018,4:00 PM,31.64,31.66,31.64,31.66,140326
4/23/2018,9:30 AM,31.84,32.13,31.56,32.13,176325
4/23/2018,10:00 AM,32.12,32.2,31.92,32.08,82068
4/23/2018,10:30 AM,32.09,32.33,31.96,32.33,79633
4/23/2018,11:00 AM,32.33,32.47,32.17,32.22,85385
4/23/2018,11:30 AM,32.22,32.31,32.15,32.17,75968
4/23/2018,12:00 PM,32.17,32.42,32.15,32.38,220874
4/23/2018,12:30 PM,32.375,32.51,32.3731,32.5,80866
4/23/2018,1:00 PM,32.5,32.5,32.37,32.41,51636
4/23/2018,1:30 PM,32.41,32.47,32.38,32.42,49067
4/23/2018,2:00 PM,32.43,32.46,32.32,32.375,59454
4/23/2018,2:30 PM,32.37,32.3887,32.23,32.25,55372
4/23/2018,3:00 PM,32.26,32.48,32.26,32.47,81620
4/23/2018,3:30 PM,32.465,32.57,32.465,32.48,236236
4/23/2018,4:00 PM,32.44,32.48,32.44,32.48,156758
4/24/2018,9:30 AM,32.68,32.69,32.46,32.56,62416
4/24/2018,10:00 AM,32.56,32.92,32.55,32.73,107555
4/24/2018,10:30 AM,32.7438,32.86,32.68,32.71,68613
4/24/2018,11:00 AM,32.71,32.9,32.64,32.9,58979
4/24/2018,11:30 AM,32.9,33.14,32.85,33.05,97249
4/24/2018,12:00 PM,33.04,33.11,32.99,33.07,79222
4/24/2018,12:30 PM,33.07,33.09,32.69,32.69,112453
4/24/2018,1:00 PM,32.68,32.7,32.55,32.655,79645
4/24/2018,1:30 PM,32.66,32.67,32.48,32.53,52115
4/24/2018,2:00 PM,32.52,32.71,32.425,32.55,88168
4/24/2018,2:30 PM,32.53,32.67,32.49,32.62,61212
4/24/2018,3:00 PM,32.63,32.76,32.62,32.7,107314
4/24/2018,3:30 PM,32.71,32.71,32.59,32.65,353141
4/24/2018,4:00 PM,32.64,32.64,32.64,32.64,180221
4/25/2018,9:30 AM,32.65,32.705,32.48,32.66,58602
4/25/2018,10:00 AM,32.66,32.99,32.58,32.99,57914
4/25/2018,10:30 AM,32.99,33.36,32.74,32.78,434972
4/25/2018,11:00 AM,32.77,33,32.65,32.8701,175223
4/25/2018,11:30 AM,32.87,32.95,32.68,32.87,122910
4/25/2018,12:00 PM,32.87,32.9,32.69,32.71,145626
4/25/2018,12:30 PM,32.709,32.75,32.53,32.55,143965
4/25/2018,1:00 PM,32.55,32.72,32.54,32.715,79010
4/25/2018,1:30 PM,32.72,32.85,32.71,32.74,94186
4/25/2018,2:00 PM,32.74,32.79,32.56,32.56,54582
4/25/2018,2:30 PM,32.56,32.77,32.56,32.77,74821
4/25/2018,3:00 PM,32.76,32.77,32.63,32.66,82018
4/25/2018,3:30 PM,32.66,32.66,32.53,32.57,346061
