Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,1061.2,1071.3995,1057.0901,1070.73,268787
4/17/2018,10:00 AM,1070.4,1076.28,1069.97,1073.73,128928
4/17/2018,10:30 AM,1074.34,1076.5887,1073.25,1076.5,74791
4/17/2018,11:00 AM,1076.51,1081.19,1076.51,1078.74,109381
4/17/2018,11:30 AM,1079.01,1082.6597,1078.49,1080.1162,92528
4/17/2018,12:00 PM,1080.31,1082.92,1080.19,1082.46,44980
4/17/2018,12:30 PM,1082.55,1082.9,1079.51,1081.29,36314
4/17/2018,1:00 PM,1081.26,1083.24,1080.09,1082.42,54278
4/17/2018,1:30 PM,1082.42,1083.31,1080.4,1081.08,41573
4/17/2018,2:00 PM,1081.13,1082.57,1079.38,1079.97,39588
4/17/2018,2:30 PM,1079.7,1084.3492,1079.7,1082.1,64607
4/17/2018,3:00 PM,1082.15,1085,1081.51,1082.37,76028
4/17/2018,3:30 PM,1082.37,1084.84,1079.17,1079.17,174873
4/17/2018,4:00 PM,1079.36,1079.36,1079.36,1079.36,235905
4/18/2018,9:30 AM,1079.01,1082,1072.14,1077.359,211192
4/18/2018,10:00 AM,1077.08,1077.08,1070.515,1073.29,84674
4/18/2018,10:30 AM,1073.01,1078.09,1073.01,1077.28,64443
4/18/2018,11:00 AM,1077.57,1080,1076.86,1079.115,80023
4/18/2018,11:30 AM,1079.35,1079.35,1072.345,1074.5377,71776
4/18/2018,12:00 PM,1074.84,1080.21,1074.54,1078.55,57459
4/18/2018,12:30 PM,1078.51,1078.909,1076.06,1077.79,21443
4/18/2018,1:00 PM,1077.63,1078.38,1076.11,1076.73,26565
4/18/2018,1:30 PM,1077.06,1077.54,1075.25,1075.45,17019
4/18/2018,2:00 PM,1074.89,1078.39,1074.15,1077.72,21129
4/18/2018,2:30 PM,1078.2128,1080.35,1077.09,1077.77,31402
4/18/2018,3:00 PM,1077.66,1079.81,1076.33,1076.5747,34982
4/18/2018,3:30 PM,1076.27,1077.83,1074.52,1075.27,113333
4/18/2018,4:00 PM,1075.39,1075.39,1075.39,1075.39,97217
4/19/2018,9:30 AM,1069.02,1082.14,1069.02,1081.53,148605
4/19/2018,10:00 AM,1081.44,1083.65,1077.27,1082.06,77278
4/19/2018,10:30 AM,1081.86,1083.57,1079.16,1081.2,48424
4/19/2018,11:00 AM,1082.26,1084.4,1079.44,1084.4,53157
4/19/2018,11:30 AM,1084.4799,1085.49,1080.8,1081.55,52861
4/19/2018,12:00 PM,1081.4999,1083.51,1078.465,1081.6,47968
4/19/2018,12:30 PM,1081.78,1086,1081.65,1083.38,42757
4/19/2018,1:00 PM,1083.08,1083.49,1081.55,1081.77,23742
4/19/2018,1:30 PM,1081.85,1086.46,1080,1085.45,43761
4/19/2018,2:00 PM,1085.7,1088,1083.7,1086.38,64288
4/19/2018,2:30 PM,1086.01,1090.52,1085.9925,1089.61,63816
4/19/2018,3:00 PM,1089.27,1094.24,1088.79,1090.75,57184
4/19/2018,3:30 PM,1091.05,1097.51,1089.47,1089.47,292825
4/19/2018,4:00 PM,1089.45,1089.45,1089.45,1089.45,194955
4/20/2018,9:30 AM,1084.27,1085.99,1078.6,1083.58,335034
4/20/2018,10:00 AM,1083.991,1092.6,1081.03,1091.9395,131617
4/20/2018,10:30 AM,1092.305,1094.75,1084.56,1089.25,128551
4/20/2018,11:00 AM,1088.41,1088.76,1080.84,1081.23,92012
4/20/2018,11:30 AM,1081.65,1085.75,1081.07,1082.43,48942
4/20/2018,12:00 PM,1081.37,1081.505,1075.58,1078.2734,60514
4/20/2018,12:30 PM,1078.255,1081.6876,1076.68,1079,52529
4/20/2018,1:00 PM,1078.01,1084.78,1078.01,1084.1995,57516
4/20/2018,1:30 PM,1084.99,1086.25,1081.24,1081.5439,49177
4/20/2018,2:00 PM,1081.09,1082.27,1077.94,1080.2201,32310
4/20/2018,2:30 PM,1080.22,1080.39,1075.07,1077.31,36682
4/20/2018,3:00 PM,1077.165,1077.165,1072.1,1074.41,55720
4/20/2018,3:30 PM,1074.42,1077.6,1073.33,1077.32,153351
4/20/2018,4:00 PM,1077.32,1077.32,1077.32,1077.32,141408
4/23/2018,9:30 AM,1082.98,1082.98,1071,1072.43,233944
4/23/2018,10:00 AM,1072.765,1076.73,1071.61,1075.96,113943
4/23/2018,10:30 AM,1076.28,1082.525,1073.91,1080.33,106162
4/23/2018,11:00 AM,1080.05,1088,1079.46,1085.345,140252
4/23/2018,11:30 AM,1085.59,1085.605,1080,1081.2,88203
4/23/2018,12:00 PM,1081.095,1082.79,1079.58,1082.79,73290
4/23/2018,12:30 PM,1082.31,1083.86,1077.61,1078.25,80714
4/23/2018,1:00 PM,1078.58,1084.2,1078.58,1083.88,79377
4/23/2018,1:30 PM,1083.74,1086.12,1081.74,1083.39,119189
4/23/2018,2:00 PM,1082.4,1083.11,1070.15,1072.18,114355
4/23/2018,2:30 PM,1071.72,1072.76,1066.68,1068.5043,112118
4/23/2018,3:00 PM,1068.53,1077.1933,1067.78,1076.8,165866
4/23/2018,3:30 PM,1077,1077,1071.66,1073.4441,245689
4/23/2018,4:00 PM,1073.81,1073.81,1073.81,1073.81,113598
4/24/2018,9:30 AM,1059.2,1064.49,1041.51,1048.0197,768719
4/24/2018,10:00 AM,1047.98,1050,1034.36,1038.01,457227
4/24/2018,10:30 AM,1038.0801,1038.88,1029.5,1030.335,360022
4/24/2018,11:00 AM,1030.01,1032.185,1018.28,1031.28,365051
4/24/2018,11:30 AM,1032,1036.34,1027.31,1031.07,245417
4/24/2018,12:00 PM,1031.07,1033.81,1018.98,1020.2092,199440
4/24/2018,12:30 PM,1020.37,1025.8,1017.5,1022.04,178584
4/24/2018,1:00 PM,1021.52,1025.31,1020.11,1022.56,154047
4/24/2018,1:30 PM,1022.54,1026.28,1020,1022.44,155727
4/24/2018,2:00 PM,1022.44,1023.77,1015.11,1018.8435,201212
4/24/2018,2:30 PM,1018.7567,1021.786,1015.2,1019.205,187640
4/24/2018,3:00 PM,1019.98,1025.5,1017.9494,1018.58,256201
4/24/2018,3:30 PM,1018.605,1023.69,1012.855,1023.69,447045
