Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,3.18,3.19,3.11,3.14,2071824
4/17/2018,10:00 AM,3.145,3.16,3.08,3.095,1975744
4/17/2018,10:30 AM,3.095,3.11,3.04,3.055,2237163
4/17/2018,11:00 AM,3.055,3.1,3.05,3.085,769886
4/17/2018,11:30 AM,3.085,3.09,3.04,3.055,1061739
4/17/2018,12:00 PM,3.055,3.08,3.03,3.07,912570
4/17/2018,12:30 PM,3.0799,3.08,3.04,3.04,788549
4/17/2018,1:00 PM,3.04,3.06,3.03,3.05,645960
4/17/2018,1:30 PM,3.045,3.08,3.045,3.07,678627
4/17/2018,2:00 PM,3.07,3.08,3.06,3.06,412498
4/17/2018,2:30 PM,3.065,3.08,3.05,3.055,571081
4/17/2018,3:00 PM,3.05,3.09,3.05,3.065,806663
4/17/2018,3:30 PM,3.06,3.08,3.05,3.055,1557576
4/17/2018,4:00 PM,3.05,3.05,3.05,3.05,411278
4/18/2018,9:30 AM,3.07,3.13,3.064,3.1026,1661202
4/18/2018,10:00 AM,3.105,3.12,3.0803,3.105,489423
4/18/2018,10:30 AM,3.11,3.13,3.1,3.11,977763
4/18/2018,11:00 AM,3.11,3.13,3.1,3.115,547332
4/18/2018,11:30 AM,3.11,3.12,3.1,3.11,216660
4/18/2018,12:00 PM,3.105,3.12,3.08,3.1,567974
4/18/2018,12:30 PM,3.09,3.1,3.06,3.07,361830
4/18/2018,1:00 PM,3.065,3.09,3.06,3.085,541615
4/18/2018,1:30 PM,3.085,3.09,3.075,3.08,247031
4/18/2018,2:00 PM,3.07,3.08,3.06,3.07,468779
4/18/2018,2:30 PM,3.07,3.08,3.05,3.05,658029
4/18/2018,3:00 PM,3.06,3.06,3.05,3.06,382741
4/18/2018,3:30 PM,3.055,3.06,3.04,3.045,1600730
4/18/2018,4:00 PM,3.04,3.04,3.04,3.04,278373
4/19/2018,9:30 AM,3.03,3.08,3.03,3.055,716095
4/19/2018,10:00 AM,3.055,3.06,3.01,3.04,760027
4/19/2018,10:30 AM,3.04,3.05,3.025,3.025,509895
4/19/2018,11:00 AM,3.025,3.03,3.01,3.015,529642
4/19/2018,11:30 AM,3.0101,3.02,2.99,2.995,1075823
4/19/2018,12:00 PM,2.99,3,2.98,2.98,571785
4/19/2018,12:30 PM,2.985,3,2.98,2.995,314479
4/19/2018,1:00 PM,2.99,2.991,2.97,2.975,596922
4/19/2018,1:30 PM,2.979,3.02,2.97,3.015,721241
4/19/2018,2:00 PM,3.02,3.04,3.01,3.04,355792
4/19/2018,2:30 PM,3.03,3.06,3.03,3.05,382331
4/19/2018,3:00 PM,3.05,3.06,3.04,3.045,512230
4/19/2018,3:30 PM,3.045,3.06,3.04,3.045,918400
4/19/2018,4:00 PM,3.04,3.04,3.04,3.04,271109
4/20/2018,9:30 AM,3.03,3.06,2.99,3.01,1207332
4/20/2018,10:00 AM,3.01,3.02,2.98,2.995,892921
4/20/2018,10:30 AM,3,3,2.97,2.97,2286534
4/20/2018,11:00 AM,2.97,2.985,2.91,2.935,2924980
4/20/2018,11:30 AM,2.935,2.97,2.93,2.935,709599
4/20/2018,12:00 PM,2.935,2.95,2.91,2.93,960629
4/20/2018,12:30 PM,2.92,2.929,2.9,2.91,1206653
4/20/2018,1:00 PM,2.91,2.93,2.91,2.925,749910
4/20/2018,1:30 PM,2.925,2.94,2.92,2.93,367417
4/20/2018,2:00 PM,2.935,2.935,2.92,2.925,389869
4/20/2018,2:30 PM,2.93,2.93,2.9,2.9062,997058
4/20/2018,3:00 PM,2.9,2.92,2.89,2.91,1695752
4/20/2018,3:30 PM,2.915,2.92,2.89,2.89,2197456
4/20/2018,4:00 PM,2.89,2.9,2.89,2.9,369592
4/23/2018,9:30 AM,2.92,2.94,2.88,2.885,1239739
4/23/2018,10:00 AM,2.885,2.91,2.861,2.91,942744
4/23/2018,10:30 AM,2.91,2.92,2.9,2.9,866796
