Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,78.55,79.19,78.5,79.14,583848
4/17/2018,10:00 AM,79.1498,79.92,79.11,79.55,609032
4/17/2018,10:30 AM,79.56,79.75,79.31,79.71,415497
4/17/2018,11:00 AM,79.72,80.05,79.7199,79.72,377238
4/17/2018,11:30 AM,79.71,80.03,79.64,79.98,289638
4/17/2018,12:00 PM,79.98,80.13,79.8364,80.03,247743
4/17/2018,12:30 PM,80.03,80.12,79.89,80.01,242818
4/17/2018,1:00 PM,80.0125,80.14,79.87,80.06,244424
4/17/2018,1:30 PM,80.07,80.17,79.9001,80.04,213914
4/17/2018,2:00 PM,80.03,80.11,79.9,80.005,326583
4/17/2018,2:30 PM,80.005,80.17,79.98,80.17,322390
4/17/2018,3:00 PM,80.16,80.39,80.12,80.325,321540
4/17/2018,3:30 PM,80.325,80.43,79.96,80.0248,1154894
4/17/2018,4:00 PM,80.03,80.03,80.03,80.03,464844
4/18/2018,9:30 AM,80.1,80.24,79.52,79.84,737841
4/18/2018,10:00 AM,79.84,80.08,79.32,80.01,465537
4/18/2018,10:30 AM,80.03,80.32,79.93,80.28,280811
4/18/2018,11:00 AM,80.27,80.49,80.15,80.245,324626
4/18/2018,11:30 AM,80.25,80.28,80.03,80.096,201341
4/18/2018,12:00 PM,80.11,80.535,80.11,80.4,220721
4/18/2018,12:30 PM,80.39,80.53,80.33,80.51,191200
4/18/2018,1:00 PM,80.5,80.62,80.4,80.52,134973
4/18/2018,1:30 PM,80.51,80.56,80.32,80.3313,165618
4/18/2018,2:00 PM,80.3303,80.855,80.27,80.729,253840
4/18/2018,2:30 PM,80.72,80.89,80.68,80.7132,292310
4/18/2018,3:00 PM,80.72,80.74,80.43,80.49,325073
4/18/2018,3:30 PM,80.5,80.55,80.18,80.34,854136
4/18/2018,4:00 PM,80.34,80.34,80.34,80.34,511634
4/19/2018,9:30 AM,80.2,80.3,79.19,79.53,724521
4/19/2018,10:00 AM,79.55,80.39,79.46,80.32,573378
4/19/2018,10:30 AM,80.3,80.3,79.63,79.77,326615
4/19/2018,11:00 AM,79.77,79.98,79.46,79.95,332415
4/19/2018,11:30 AM,79.96,79.96,79.41,79.41,267932
4/19/2018,12:00 PM,79.4,79.59,79.29,79.43,309948
4/19/2018,12:30 PM,79.45,79.76,79.4102,79.64,309415
4/19/2018,1:00 PM,79.6287,79.64,79.46,79.48,201709
4/19/2018,1:30 PM,79.48,79.62,79.44,79.48,233537
4/19/2018,2:00 PM,79.46,79.48,79.26,79.34,364979
4/19/2018,2:30 PM,79.33,79.62,79.32,79.6,369516
4/19/2018,3:00 PM,79.6,79.8,79.56,79.62,324423
4/19/2018,3:30 PM,79.63,80.02,79.57,79.69,858195
4/19/2018,4:00 PM,79.68,79.68,79.68,79.68,343423
4/20/2018,9:30 AM,79.22,79.55,78.93,79.1318,1077641
4/20/2018,10:00 AM,79.14,79.87,79.01,79.8,255345
4/20/2018,10:30 AM,79.8,79.84,79.3,79.38,260016
4/20/2018,11:00 AM,79.37,79.41,78.3,78.34,394076
4/20/2018,11:30 AM,78.33,78.71,78.3076,78.63,348332
4/20/2018,12:00 PM,78.64,78.84,78.5,78.57,206387
4/20/2018,12:30 PM,78.59,78.75,78.46,78.63,154886
4/20/2018,1:00 PM,78.61,78.9,78.51,78.9,129231
4/20/2018,1:30 PM,78.9,79.06,78.84,78.89,136885
4/20/2018,2:00 PM,78.89,78.98,78.81,78.93,132490
4/20/2018,2:30 PM,78.925,78.97,78.6596,78.84,165179
4/20/2018,3:00 PM,78.85,78.8549,78.47,78.6,288088
4/20/2018,3:30 PM,78.6,78.75,78.48,78.73,797766
4/20/2018,4:00 PM,78.73,78.73,78.73,78.73,608875
4/23/2018,9:30 AM,78.86,79.44,78.67,79.01,390326
4/23/2018,10:00 AM,79.02,79.27,78.86,79.2,234166
4/23/2018,10:30 AM,79.21,79.265,78.91,79.18,223514
4/23/2018,11:00 AM,79.18,79.45,79.09,79.41,183642
4/23/2018,11:30 AM,79.39,79.4,79.06,79.199,122490
4/23/2018,12:00 PM,79.18,79.23,78.81,78.9,123896
4/23/2018,12:30 PM,78.89,78.95,78.64,78.73,85758
4/23/2018,1:00 PM,78.72,78.82,78.64,78.67,98556
4/23/2018,1:30 PM,78.665,78.78,78.47,78.68,108823
4/23/2018,2:00 PM,78.665,78.68,78.2302,78.3,148165
4/23/2018,2:30 PM,78.3,78.4,77.99,78.13,222088
4/23/2018,3:00 PM,78.14,78.42,78.08,78.4,249813
4/23/2018,3:30 PM,78.3999,78.44,78.12,78.21,646328
4/23/2018,4:00 PM,78.21,78.21,78.21,78.21,555555
4/24/2018,9:30 AM,78.9,79.4,78.55,78.92,657293
4/24/2018,10:00 AM,78.9,79.2604,78.54,78.63,363174
4/24/2018,10:30 AM,78.62,78.7,78.27,78.2836,356765
4/24/2018,11:00 AM,78.29,78.3,77.47,78.01,473554
4/24/2018,11:30 AM,78.02,78.25,77.77,77.77,284703
4/24/2018,12:00 PM,77.775,77.81,76.53,76.59,505234
4/24/2018,12:30 PM,76.58,76.8,76.02,76.04,703118
4/24/2018,1:00 PM,76.03,76.43,75.93,75.995,473497
4/24/2018,1:30 PM,76,76.02,75.61,75.735,359038
4/24/2018,2:00 PM,75.74,75.74,75.2,75.3,411335
4/24/2018,2:30 PM,75.31,75.63,75.14,75.47,394529
4/24/2018,3:00 PM,75.49,75.81,75.425,75.485,553008
4/24/2018,3:30 PM,75.485,75.485,75.08,75.28,1789764
4/24/2018,4:00 PM,75.3,75.3,75.28,75.28,808275
4/25/2018,9:30 AM,75.39,75.575,74.28,74.35,896678
4/25/2018,10:00 AM,74.3114,74.45,73.7,74.37,761342
4/25/2018,10:30 AM,74.37,74.92,74.31,74.52,562025
4/25/2018,11:00 AM,74.5232,75.27,74.48,75.16,659102
4/25/2018,11:30 AM,75.17,75.17,74.38,74.4,430566
4/25/2018,12:00 PM,74.4,74.69,74.17,74.54,386380
4/25/2018,12:30 PM,74.54,74.89,74.52,74.69,275752
4/25/2018,1:00 PM,74.67,74.86,74.55,74.77,613075
4/25/2018,1:30 PM,74.75,75.05,74.7498,74.9,322012
4/25/2018,2:00 PM,74.89,74.91,74.37,74.51,483916
4/25/2018,2:30 PM,74.5,74.99,74.44,74.87,543801
4/25/2018,3:00 PM,74.86,74.89,74.23,74.29,851326
4/25/2018,3:30 PM,74.3,74.46,73.98,74.01,2342653
4/25/2018,4:00 PM,74,74,74,74,479310
4/26/2018,9:30 AM,76.32,77.45,75.49,76.51,2248168
4/26/2018,10:00 AM,76.56,76.76,76,76.38,817240
4/26/2018,10:30 AM,76.39,76.74,76.2,76.52,746409
4/26/2018,11:00 AM,76.52,76.7,76.05,76.68,904660
4/26/2018,11:30 AM,76.67,77.07,76.59,76.93,648104
4/26/2018,12:00 PM,76.93,77.57,76.87,77.535,692032
4/26/2018,12:30 PM,77.5336,77.62,77.2203,77.38,766263
4/26/2018,1:00 PM,77.38,77.47,77.13,77.24,765661
4/26/2018,1:30 PM,77.25,77.44,77.155,77.39,537542
4/26/2018,2:00 PM,77.4,77.4,76.53,76.56,574881
4/26/2018,2:30 PM,76.57,77.01,76.55,76.79,476456
