Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,34.83,35.06,34.6466,34.949,433689
4/17/2018,10:00 AM,34.95,34.96,34.72,34.91,395116
4/17/2018,10:30 AM,34.91,35.04,34.91,34.94,264654
4/17/2018,11:00 AM,34.95,35,34.86,34.86,248623
4/17/2018,11:30 AM,34.86,34.89,34.765,34.87,312644
4/17/2018,12:00 PM,34.87,35.04,34.86,35.04,369041
4/17/2018,12:30 PM,35.03,35.0368,34.925,34.93,205688
4/17/2018,1:00 PM,34.93,35,34.67,34.67,251988
4/17/2018,1:30 PM,34.675,34.785,34.62,34.66,332189
4/17/2018,2:00 PM,34.665,34.72,34.475,34.48,233511
4/17/2018,2:30 PM,34.474,34.57,34.47,34.515,397406
4/17/2018,3:00 PM,34.51,34.73,34.49,34.67,418843
4/17/2018,3:30 PM,34.665,34.745,34.57,34.57,811566
4/17/2018,4:00 PM,34.57,34.57,34.57,34.57,351587
4/18/2018,9:30 AM,34.76,35.2,34.69,35.2,360445
4/18/2018,10:00 AM,35.2,35.2,34.88,35.045,172717
4/18/2018,10:30 AM,35.05,35.14,34.98,35.14,148967
4/18/2018,11:00 AM,35.14,35.24,35.12,35.18,145843
4/18/2018,11:30 AM,35.18,35.24,35.03,35.05,130081
4/18/2018,12:00 PM,35.05,35.12,35.04,35.09,142726
4/18/2018,12:30 PM,35.08,35.095,34.9101,34.98,227343
4/18/2018,1:00 PM,34.97,35.12,34.97,35.045,174138
4/18/2018,1:30 PM,35.05,35.11,34.95,34.98,154444
4/18/2018,2:00 PM,34.97,35.05,34.92,34.96,145191
4/18/2018,2:30 PM,34.96,35.005,34.91,34.925,197829
4/18/2018,3:00 PM,34.93,35.03,34.9137,34.99,203765
4/18/2018,3:30 PM,34.98,34.99,34.85,34.88,494021
4/18/2018,4:00 PM,34.89,34.89,34.89,34.89,311127
4/19/2018,9:30 AM,34.94,35.59,34.94,35.225,320242
4/19/2018,10:00 AM,35.225,35.29,35.02,35.25,248108
4/19/2018,10:30 AM,35.245,35.5,35.245,35.465,375473
4/19/2018,11:00 AM,35.47,35.56,35.33,35.46,341406
4/19/2018,11:30 AM,35.46,35.5,35.38,35.45,208883
4/19/2018,12:00 PM,35.44,35.45,35.22,35.315,252922
4/19/2018,12:30 PM,35.315,35.37,35.09,35.1,279185
4/19/2018,1:00 PM,35.1,35.13,34.985,35.07,191218
4/19/2018,1:30 PM,35.07,35.27,35.06,35.24,160267
4/19/2018,2:00 PM,35.25,35.3048,35.105,35.225,263232
4/19/2018,2:30 PM,35.225,35.44,35.21,35.375,289633
4/19/2018,3:00 PM,35.37,35.38,35.23,35.23,401644
4/19/2018,3:30 PM,35.24,35.37,35.17,35.35,875616
4/19/2018,4:00 PM,35.35,35.35,35.35,35.35,287089
4/20/2018,9:30 AM,35.71,36.21,35.05,35.32,1737546
4/20/2018,10:00 AM,35.32,35.61,35.21,35.475,652980
4/20/2018,10:30 AM,35.475,35.745,35.43,35.51,290732
4/20/2018,11:00 AM,35.505,35.74,35.475,35.615,584789
4/20/2018,11:30 AM,35.63,35.91,35.625,35.765,500425
4/20/2018,12:00 PM,35.765,35.765,35.4,35.44,688096
4/20/2018,12:30 PM,35.445,35.48,35.02,35.17,605430
4/20/2018,1:00 PM,35.18,35.475,35.09,35.46,304010
4/20/2018,1:30 PM,35.465,35.625,35.41,35.585,268527
4/20/2018,2:00 PM,35.59,35.645,35.355,35.42,273383
4/20/2018,2:30 PM,35.42,35.43,35.015,35.03,351936
4/20/2018,3:00 PM,35.03,35.135,34.86,35.08,503936
4/20/2018,3:30 PM,35.085,35.28,34.96,35.2,1469910
4/20/2018,4:00 PM,35.2,35.2,35.2,35.2,1100260
4/23/2018,9:30 AM,35.31,35.44,35.185,35.195,416931
4/23/2018,10:00 AM,35.2,35.245,35.04,35.125,341313
4/23/2018,10:30 AM,35.13,35.145,34.9,35,378322
4/23/2018,11:00 AM,34.995,35.3,34.99,35.245,276953
4/23/2018,11:30 AM,35.245,35.33,35.21,35.265,227936
4/23/2018,12:00 PM,35.27,35.305,35,35.04,277517
4/23/2018,12:30 PM,35.045,35.24,35.04,35.24,242947
4/23/2018,1:00 PM,35.24,35.24,35.01,35.095,219010
4/23/2018,1:30 PM,35.1,35.175,35.01,35.035,207554
