Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,83.5,83.86,83.4,83.8,189360
4/17/2018,10:00 AM,83.8,83.925,83.58,83.76,116164
4/17/2018,10:30 AM,83.74,84.02,83.72,84,158845
4/17/2018,11:00 AM,84.01,84.21,83.91,84.2,132921
4/17/2018,11:30 AM,84.2,84.205,83.89,84,132530
4/17/2018,12:00 PM,84.01,84.1,83.81,83.89,65047
4/17/2018,12:30 PM,83.9,83.91,83.6,83.6,187523
4/17/2018,1:00 PM,83.6,83.67,83.5,83.66,65640
4/17/2018,1:30 PM,83.66,83.84,83.61,83.8,74273
4/17/2018,2:00 PM,83.8,83.86,83.57,83.7067,105913
4/17/2018,2:30 PM,83.705,83.755,83.52,83.56,103256
4/17/2018,3:00 PM,83.54,83.71,83.49,83.65,188505
4/17/2018,3:30 PM,83.65,83.72,83.45,83.45,292369
4/17/2018,4:00 PM,83.45,83.45,83.45,83.45,183916
4/18/2018,9:30 AM,83.67,84.33,83.67,84.24,155507
4/18/2018,10:00 AM,84.24,84.4,84.0201,84.36,99502
4/18/2018,10:30 AM,84.35,84.44,84.24,84.43,108544
4/18/2018,11:00 AM,84.42,84.48,84.22,84.26,110757
4/18/2018,11:30 AM,84.26,84.33,84,84.01,61368
4/18/2018,12:00 PM,84.04,84.12,83.76,83.79,132395
4/18/2018,12:30 PM,83.78,83.86,83.63,83.71,71233
4/18/2018,1:00 PM,83.71,83.95,83.71,83.87,85563
4/18/2018,1:30 PM,83.85,83.9,83.8,83.81,55972
4/18/2018,2:00 PM,83.8,83.85,83.68,83.77,115922
4/18/2018,2:30 PM,83.76,83.77,83.27,83.27,151075
4/18/2018,3:00 PM,83.28,83.41,83.18,83.29,202716
4/18/2018,3:30 PM,83.29,83.35,83.12,83.2,552037
4/18/2018,4:00 PM,83.18,83.18,83.18,83.18,160363
4/19/2018,9:30 AM,83.01,83.37,82.8,83.37,315466
4/19/2018,10:00 AM,83.37,83.59,83.2,83.35,292670
4/19/2018,10:30 AM,83.37,83.56,82.92,83.02,162762
4/19/2018,11:00 AM,83.02,83.12,82.68,83.06,202697
4/19/2018,11:30 AM,83.04,83.1,82.75,82.8,236848
4/19/2018,12:00 PM,82.79,82.88,82.52,82.55,123385
4/19/2018,12:30 PM,82.55,82.63,82.37,82.385,124021
4/19/2018,1:00 PM,82.39,82.47,82.2,82.2,120141
4/19/2018,1:30 PM,82.2,82.59,82.2,82.48,113111
4/19/2018,2:00 PM,82.49,82.66,82.39,82.55,126840
4/19/2018,2:30 PM,82.55,82.7,82.52,82.66,124187
4/19/2018,3:00 PM,82.6616,82.75,82.5,82.51,150767
4/19/2018,3:30 PM,82.5,82.89,82.479,82.64,454389
4/19/2018,4:00 PM,82.64,82.64,82.64,82.64,250202
4/20/2018,9:30 AM,82.58,82.86,82.28,82.59,301210
4/20/2018,10:00 AM,82.6,82.62,82.15,82.51,205248
4/20/2018,10:30 AM,82.51,82.54,82.23,82.39,180578
4/20/2018,11:00 AM,82.39,82.54,82.14,82.17,145142
4/20/2018,11:30 AM,82.17,82.52,82.16,82.52,130130
4/20/2018,12:00 PM,82.52,82.53,82.35,82.43,112857
4/20/2018,12:30 PM,82.43,82.44,82.2,82.2,110881
4/20/2018,1:00 PM,82.2,82.37,82.17,82.36,125677
4/20/2018,1:30 PM,82.36,82.48,82.3,82.4,68123
4/20/2018,2:00 PM,82.39,82.47,82.325,82.44,97878
4/20/2018,2:30 PM,82.44,82.47,82.2,82.34,88918
4/20/2018,3:00 PM,82.33,82.33,81.94,82.12,166099
4/20/2018,3:30 PM,82.125,82.48,82.07,82.48,614018
4/20/2018,4:00 PM,82.48,82.48,82.48,82.48,400204
4/23/2018,9:30 AM,82.54,83.04,82.32,82.65,162998
4/23/2018,10:00 AM,82.64,82.91,82.54,82.81,123710
4/23/2018,10:30 AM,82.81,83.11,82.61,83.11,82048
4/23/2018,11:00 AM,83.11,83.37,83.0202,83.26,103437
4/23/2018,11:30 AM,83.27,83.29,83.08,83.2,79793
4/23/2018,12:00 PM,83.2,83.295,83.12,83.27,91827
4/23/2018,12:30 PM,83.28,83.565,83.2578,83.55,97821
4/23/2018,1:00 PM,83.545,83.6,83.47,83.58,89499
4/23/2018,1:30 PM,83.58,83.625,83.32,83.42,137374
4/23/2018,2:00 PM,83.42,83.45,83.03,83.09,158527
4/23/2018,2:30 PM,83.08,83.18,82.95,82.98,94562
4/23/2018,3:00 PM,82.99,83.16,82.95,83.1405,98288
4/23/2018,3:30 PM,83.15,83.3,83.06,83.22,342562
4/23/2018,4:00 PM,83.23,83.23,83.23,83.23,130615
4/24/2018,9:30 AM,83.58,83.72,83.09,83.39,179860
4/24/2018,10:00 AM,83.38,83.815,83.21,83.26,171278
4/24/2018,10:30 AM,83.27,83.54,83.18,83.48,197622
4/24/2018,11:00 AM,83.46,84.05,83.42,84.04,195634
4/24/2018,11:30 AM,84.05,84.36,83.96,84.04,158405
4/24/2018,12:00 PM,84.02,84.12,83.79,83.885,124523
4/24/2018,12:30 PM,83.89,83.9,83.29,83.3,118917
4/24/2018,1:00 PM,83.29,83.49,83.22,83.36,120623
4/24/2018,1:30 PM,83.36,83.37,82.92,82.97,155067
4/24/2018,2:00 PM,82.96,83.16,82.76,82.85,235279
4/24/2018,2:30 PM,82.84,83.19,82.78,83.07,147206
4/24/2018,3:00 PM,83.07,83.33,83.05,83.18,159502
4/24/2018,3:30 PM,83.18,83.18,82.82,83.09,485375
4/24/2018,4:00 PM,83.09,83.09,83.09,83.09,170726
4/25/2018,9:30 AM,82.84,83.04,82.26,82.98,105275
4/25/2018,10:00 AM,82.96,83.29,82.7965,83.1,106157
4/25/2018,10:30 AM,83.08,83.31,82.84,83.03,159206
4/25/2018,11:00 AM,83.02,83.36,82.99,83.23,114753
4/25/2018,11:30 AM,83.23,83.3698,83.05,83.13,115897
4/25/2018,12:00 PM,83.13,83.3,83.06,83.2,114328
4/25/2018,12:30 PM,83.2,83.35,83.12,83.19,103268
4/25/2018,1:00 PM,83.18,83.5357,83.18,83.44,145143
4/25/2018,1:30 PM,83.44,83.58,83.36,83.53,138744
4/25/2018,2:00 PM,83.54,83.56,83.16,83.19,108098
4/25/2018,2:30 PM,83.19,83.5,83.14,83.48,103718
4/25/2018,3:00 PM,83.49,83.54,83.39,83.47,122821
4/25/2018,3:30 PM,83.46,83.4899,83.02,83.34,311326
4/25/2018,4:00 PM,83.33,83.33,83.33,83.33,173484
4/26/2018,9:30 AM,83.58,83.8499,83.03,83.29,168841
4/26/2018,10:00 AM,83.29,84.21,83.29,84.2,175414
4/26/2018,10:30 AM,84.2,84.67,84.13,84.58,207009
4/26/2018,11:00 AM,84.57,84.61,84.26,84.58,247679
4/26/2018,11:30 AM,84.58,84.587,84.27,84.38,122462
4/26/2018,12:00 PM,84.39,84.62,84.32,84.495,93629
4/26/2018,12:30 PM,84.48,84.49,84.26,84.31,72332
4/26/2018,1:00 PM,84.31,84.7,84.31,84.59,72431
4/26/2018,1:30 PM,84.56,84.77,84.46,84.7,73074
4/26/2018,2:00 PM,84.7001,84.94,84.661,84.94,133196
4/26/2018,2:30 PM,84.95,85.11,84.89,85.05,152134
4/26/2018,3:00 PM,85.05,85.06,84.79,84.83,169010
4/26/2018,3:30 PM,84.84,85.13,84.84,85.06,586812
4/26/2018,4:00 PM,85.03,85.1,85.03,85.1,354297
4/27/2018,9:30 AM,85.25,85.66,84.823,85.53,330405
4/27/2018,10:00 AM,85.5,85.86,85.35,85.55,184402
4/27/2018,10:30 AM,85.53,85.61,85.38,85.55,108832
4/27/2018,11:00 AM,85.55,86.12,85.525,86.06,413585
4/27/2018,11:30 AM,86.05,86.55,86.05,86.12,472409
4/27/2018,12:00 PM,86.13,86.25,85.951,86.193,166221
4/27/2018,12:30 PM,86.2048,86.57,86.01,86.5283,124859
4/27/2018,1:00 PM,86.55,86.73,86.48,86.61,152529
4/27/2018,1:30 PM,86.61,86.62,86.34,86.34,116442
4/27/2018,2:00 PM,86.3261,86.36,86.17,86.205,110270
4/27/2018,2:30 PM,86.19,86.19,86.09,86.17,130775
4/27/2018,3:00 PM,86.16,86.44,86.14,86.4,427949
4/27/2018,3:30 PM,86.4,86.56,86.355,86.49,624356
4/27/2018,4:00 PM,86.5,86.5,86.5,86.5,192934
4/30/2018,9:30 AM,86.8,87.24,86.23,86.36,487641
4/30/2018,10:00 AM,86.3352,86.58,85.95,86.03,212002
4/30/2018,10:30 AM,86.06,86.18,85.75,85.79,167529
4/30/2018,11:00 AM,85.81,85.94,85.79,85.82,101206
4/30/2018,11:30 AM,85.82,85.82,85.59,85.72,80542
4/30/2018,12:00 PM,85.73,85.82,85.68,85.73,69329
4/30/2018,12:30 PM,85.72,85.74,85.46,85.61,130743
4/30/2018,1:00 PM,85.6,85.72,85.51,85.65,166751
4/30/2018,1:30 PM,85.64,85.66,85.42,85.51,70221
4/30/2018,2:00 PM,85.5,85.53,85.42,85.46,195065
4/30/2018,2:30 PM,85.46,85.5,85.22,85.24,144594
4/30/2018,3:00 PM,85.24,85.2468,84.831,84.89,138862
4/30/2018,3:30 PM,84.88,85.12,84.8,84.84,565569
4/30/2018,4:00 PM,84.85,84.85,84.85,84.85,946074
5/1/2018,9:30 AM,84.78,84.79,84.16,84.45,207946
5/1/2018,10:00 AM,84.44,84.55,83.73,83.73,231325
5/1/2018,10:30 AM,83.75,83.83,83.21,83.33,270124
5/1/2018,11:00 AM,83.3,83.43,82.97,82.985,124300
5/1/2018,11:30 AM,82.985,83.28,82.85,82.85,105519
5/1/2018,12:00 PM,82.82,83.13,82.81,83.09,92139
5/1/2018,12:30 PM,83.09,83.11,82.93,82.9532,118855
5/1/2018,1:00 PM,82.95,82.95,82.58,82.712,180556
5/1/2018,1:30 PM,82.7,83.06,82.65,83.03,139038
5/1/2018,2:00 PM,83.05,83.12,82.86,83.04,178265
5/1/2018,2:30 PM,83.06,83.12,82.93,83.07,165635
5/1/2018,3:00 PM,83.08,83.22,82.98,83.19,223615
5/1/2018,3:30 PM,83.2,83.6,83.2,83.54,441146
5/1/2018,4:00 PM,83.57,83.57,83.57,83.57,241625
5/2/2018,9:30 AM,83.2,83.3,82.42,82.98,203541
5/2/2018,10:00 AM,82.97,83.69,82.97,83.69,179397
5/2/2018,10:30 AM,83.7,83.86,83.5868,83.77,259720
5/2/2018,11:00 AM,83.76,84.08,83.74,83.87,110271
5/2/2018,11:30 AM,83.86,83.91,83.74,83.81,108415
5/2/2018,12:00 PM,83.805,83.945,83.65,83.8575,90405
5/2/2018,12:30 PM,83.85,83.93,83.79,83.8,108553
5/2/2018,1:00 PM,83.81,84.22,83.81,84.06,107229
5/2/2018,1:30 PM,84.08,84.14,83.96,84.05,123722
5/2/2018,2:00 PM,84.06,84.2975,84.01,84.13,190017
5/2/2018,2:30 PM,84.13,84.205,83.97,84.045,133120
