Date,Time,Open,High,Low,Close,Volume
4/17/2018,9:30 AM,87.48,88.17,87.41,87.97,852409
4/17/2018,10:00 AM,87.9898,88,87.63,87.71,500213
4/17/2018,10:30 AM,87.71,87.91,87.66,87.81,338309
4/17/2018,11:00 AM,87.805,87.95,87.75,87.87,276856
4/17/2018,11:30 AM,87.87,87.8799,87.65,87.78,234398
4/17/2018,12:00 PM,87.79,88.0841,87.7,88.0841,260817
4/17/2018,12:30 PM,88.09,88.09,87.92,87.99,170059
4/17/2018,1:00 PM,87.98,88.08,87.875,87.98,181680
4/17/2018,1:30 PM,87.99,88.11,87.9183,87.9634,177365
4/17/2018,2:00 PM,87.95,87.979,87.79,87.935,246937
4/17/2018,2:30 PM,87.9385,88.11,87.91,87.965,182236
4/17/2018,3:00 PM,87.97,88.01,87.86,87.99,255917
4/17/2018,3:30 PM,87.995,88.04,87.855,87.88,792700
4/17/2018,4:00 PM,87.9,87.9,87.9,87.9,734613
4/18/2018,9:30 AM,88.2,88.56,88.11,88.42,654293
4/18/2018,10:00 AM,88.4,88.435,87.9,88.04,369033
4/18/2018,10:30 AM,88.03,88.23,88.01,88.15,185299
4/18/2018,11:00 AM,88.15,88.2164,88.04,88.11,179437
4/18/2018,11:30 AM,88.12,88.215,87.96,87.9622,155003
4/18/2018,12:00 PM,87.95,88.04,87.84,87.8984,131993
4/18/2018,12:30 PM,87.91,87.9399,87.81,87.86,133757
4/18/2018,1:00 PM,87.85,88.07,87.8408,87.94,99328
4/18/2018,1:30 PM,87.94,87.975,87.7957,87.7957,160650
4/18/2018,2:00 PM,87.7987,87.93,87.73,87.865,199425
4/18/2018,2:30 PM,87.865,87.89,87.72,87.75,215037
4/18/2018,3:00 PM,87.75,87.8,87.63,87.69,287165
4/18/2018,3:30 PM,87.695,87.7,87.51,87.57,734870
4/18/2018,4:00 PM,87.57,87.57,87.57,87.57,1365931
4/19/2018,9:30 AM,87.41,87.68,86.68,86.81,724328
4/19/2018,10:00 AM,86.83,86.97,86.58,86.9036,502653
4/19/2018,10:30 AM,86.91,87.42,86.89,87.3,524715
